playerTransformPositions: x = 13.51641, z = 16.07625 
playerTransformPositions: x = 13.48783, z = 16.07475 
playerTransformPositions: x = 13.45852, z = 16.07322 
playerTransformPositions: x = 13.42955, z = 16.0717 
playerTransformPositions: x = 13.39989, z = 16.07015 
playerTransformPositions: x = 13.37094, z = 16.06863 
playerTransformPositions: x = 13.34336, z = 16.06718 
playerTransformPositions: x = 13.31793, z = 16.06585 
playerTransformPositions: x = 13.28547, z = 16.06415 
playerTransformPositions: x = 13.25363, z = 16.06248 
playerTransformPositions: x = 13.22395, z = 16.06093 
playerTransformPositions: x = 13.19366, z = 16.05934 
playerTransformPositions: x = 13.17016, z = 16.05811 
playerTransformPositions: x = 13.13867, z = 16.05646 
playerTransformPositions: x = 13.10906, z = 16.0549 
playerTransformPositions: x = 13.08468, z = 16.05363 
playerTransformPositions: x = 13.05447, z = 16.05204 
playerTransformPositions: x = 13.02635, z = 16.05057 
playerTransformPositions: x = 13.00474, z = 16.04944 
playerTransformPositions: x = 12.97207, z = 16.04772 
playerTransformPositions: x = 12.94487, z = 16.0463 
playerTransformPositions: x = 12.92308, z = 16.04516 
playerTransformPositions: x = 12.89284, z = 16.04357 
playerTransformPositions: x = 12.86278, z = 16.03204 
playerTransformPositions: x = 12.83738, z = 16.02229 
playerTransformPositions: x = 12.81014, z = 16.01183 
playerTransformPositions: x = 12.78276, z = 16.00132 
playerTransformPositions: x = 12.75989, z = 15.99254 
playerTransformPositions: x = 12.73575, z = 15.98327 
playerTransformPositions: x = 12.7089, z = 15.97296 
playerTransformPositions: x = 12.67621, z = 15.96042 
playerTransformPositions: x = 12.6501, z = 15.9504 
playerTransformPositions: x = 12.62677, z = 15.94144 
playerTransformPositions: x = 12.59731, z = 15.93013 
playerTransformPositions: x = 12.57119, z = 15.9201 
playerTransformPositions: x = 12.54551, z = 15.91024 
playerTransformPositions: x = 12.5176, z = 15.89953 
playerTransformPositions: x = 12.49526, z = 15.89096 
playerTransformPositions: x = 12.46458, z = 15.87918 
playerTransformPositions: x = 12.43949, z = 15.86955 
playerTransformPositions: x = 12.41363, z = 15.85962 
playerTransformPositions: x = 12.39015, z = 15.85061 
playerTransformPositions: x = 12.36272, z = 15.84008 
playerTransformPositions: x = 12.34146, z = 15.83192 
playerTransformPositions: x = 12.31524, z = 15.82185 
playerTransformPositions: x = 12.28234, z = 15.80922 
playerTransformPositions: x = 12.25779, z = 15.7998 
